Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Sensitivity,Specificity,PPV,NPV
XGBoost,0.8172763586670871,0.39105186749373105,0.5588457185967559,0.46012889199472007,0.8265410316141684,0.5588457185967559,0.8591145038167939,0.39105186749373105,0.9232485643970467
TabNet,0.8068958267633765,0.3761501210653753,0.5860052810260279,0.45819200707860197,0.8228105539894207,0.5860052810260279,0.8426564885496183,0.3761501210653753,0.9263225026852846
